Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Decker-Voigt25;Decker-Voigt, Rauhe, Schnack;Hans-Helmut;"""Mich macht krank, was ich liebe""";1995;Musikmedizin;"Die Behandlung der Berufskrankheiten von MusikerInnen (Musikmedizin) ist ein Teilgebiet der Arbeitsmedizin mit wachsender Bedeutung. Musikhochschulen und andere Ausbildungsstätten, Jugendmusikschulen, Opern- und Berufsorchester sowie die Krankenkassen und behandelnden Ärzte im Umfeld ausübender MusikerInnen werden angesichts der Bedeutung, die die Musik für unsere Gesellschaft hat, zunehmend aufmerksam auf dieses Spezialgebiet. Der vorliegende Band will zweierlei. Zum einen will das Buch mit der Bibliographie und den Zusammenfassungen (Abstracts) deutsch- und angloamerikanischer Literatur zur Musikmedizin Hinweise und Hilfestellungenfür Behandler und Ausbilder geben: wo wird praktisch gearbeitet, geforscht, worauf bezogen? Wo gibt es AUtorInnen und Arbeiten, die ""mein"" Instrument zum Thema machen? Zum anderen: "" Mich macht krank, was ich liebe.."" ist ein Beitrag, in dem das Hamburger Modell einer MusikerInnen-Medizin und MusikerInnen Therapie geschildert und in dem die Einbeziehung von psychosozialer bzw. Psychotherapeutischer Begleitung in die Musikmedizin bisherigen Zuschnitts forciert wird. Eine ganzheitlich verstandene, holistische Prävention und Hilfe bei Musikerkrankheiten ist Inhalt und Ziel dieser Arbeit.";3-87204-424-9;Deutsch
Decker-Voigt25a;Decker-Voigt, Rauhe, Schnack;Hans-Helmut;"""Mich macht krank, was ich liebe""";1995;Musikmedizin;"Die Behandlung der Berufskrankheiten von MusikerInnen (Musikmedizin) ist ein Teilgebiet der Arbeitsmedizin mit wachsender Bedeutung. Musikhochschulen und andere Ausbildungsstätten, Jugendmusikschulen, Opern- und Berufsorchester sowie die Krankenkassen und behandelnden Ärzte im Umfeld ausübender MusikerInnen werden angesichts der Bedeutung, die die Musik für unsere Gesellschaft hat, zunehmend aufmerksam auf dieses Spezialgebiet. Der vorliegende Band will zweierlei. Zum einen will das Buch mit der Bibliographie und den Zusammenfassungen (Abstracts) deutsch- und angloamerikanischer Literatur zur Musikmedizin Hinweise und Hilfestellungenfür Behandler und Ausbilder geben: wo wird praktisch gearbeitet, geforscht, worauf bezogen? Wo gibt es AUtorInnen und Arbeiten, die ""mein"" Instrument zum Thema machen? Zum anderen: "" Mich macht krank, was ich liebe.."" ist ein Beitrag, in dem das Hamburger Modell einer MusikerInnen-Medizin und MusikerInnen Therapie geschildert und in dem die Einbeziehung von psychosozialer bzw. Psychotherapeutischer Begleitung in die Musikmedizin bisherigen Zuschnitts forciert wird. Eine ganzheitlich verstandene, holistische Prävention und Hilfe bei Musikerkrankheiten ist Inhalt und Ziel dieser Arbeit.";3-87204-424-9;Deutsch
Decker-Voigt26;Decker-Voigt, Spintge;;Ausgabe 1. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2001;Musikmedizin;;;Deutsch
Decker-Voigt26a;Decker-Voigt, Spintge;;Ausgabe 1. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2001;Musikmedizin;;;Deutsch
Decker-Voigt26b;Decker-Voigt, Spintge;;Ausgabe 1. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2001;Musikmedizin;;;Deutsch
Decker-Voigt27;Decker-Voigt, Spintge;;Ausgabe 2. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2001;Musikmedizin;;;Deutsch
Decker-Voigt27a;Decker-Voigt, Spintge;;Ausgabe 2. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2001;Musikmedizin;;;Deutsch
Decker-Voigt27b;Decker-Voigt, Spintge;;Ausgabe 2. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2001;Musikmedizin;;;Deutsch
Decker-Voigt28;Decker-Voigt, Spintge;;Ausgabe 3. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2002;Musikmedizin;;;Deutsch
Decker-Voigt28a;Decker-Voigt, Spintge;;Ausgabe 3. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2002;Musikmedizin;;;Deutsch
Decker-Voigt28b;Decker-Voigt, Spintge;;Ausgabe 3. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2002;Musikmedizin;;;Deutsch
Decker-Voigt29;Decker-Voigt, Spintge;;Ausgabe 4. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2002;Musikmedizin;;;Deutsch
Decker-Voigt29a;Decker-Voigt, Spintge;;Ausgabe 4. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2002;Musikmedizin;;;Deutsch
Decker-Voigt29b;Decker-Voigt, Spintge;;Ausgabe 4. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2002;Musikmedizin;;;Deutsch
Decker-Voigt29c;Decker-Voigt, Spintge;;Ausgabe 4. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2002;Musikmedizin;;;Deutsch
Decker-Voigt30;Decker-Voigt, Spintge;;Ausgabe 5. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2003;Musikmedizin;;;Deutsch
Decker-Voigt30a;Decker-Voigt, Spintge;;Ausgabe 5. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2003;Musikmedizin;;;Deutsch
Decker-Voigt31;Decker-Voigt, Spintge;;Ausgabe 6. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2003;Musikmedizin;;;Deutsch
Decker-Voigt31a;Decker-Voigt, Spintge;;Ausgabe 6. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2003;Musikmedizin;;;Deutsch
Decker-Voigt31b;Decker-Voigt, Spintge;;Ausgabe 6. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2003;Musikmedizin;;;Deutsch
Decker-Voigt32;Decker-Voigt, Spintge, Weymann;;Ausgabe 8. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2004;Musikmedizin;;;Deutsch
Decker-Voigt32a;Decker-Voigt, Spintge, Weymann;;Ausgabe 8. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2004;Musikmedizin;;;Deutsch
Decker-Voigt33;Decker-Voigt, Spintge, Weymann;;Ausgabe 9. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2005;Musikmedizin;;;Deutsch
Decker-Voigt33a;Decker-Voigt, Spintge, Weymann;;Ausgabe 9. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2005;Musikmedizin;;;Deutsch
Decker-Voigt33b;Decker-Voigt, Spintge, Weymann;;Ausgabe 9. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2005;Musikmedizin;;;Deutsch
Decker-Voigt34;Decker-Voigt, Spintge, Weymann;;Ausgabe 10. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2005;Musikmedizin;;;Deutsch
Decker-Voigt34a;Decker-Voigt, Spintge, Weymann;;Ausgabe 10. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2005;Musikmedizin;;;Deutsch
Decker-Voigt34b;Decker-Voigt, Spintge, Weymann;;Ausgabe 10. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2005;Musikmedizin;;;Deutsch
Decker-Voigt34c;Decker-Voigt, Spintge, Weymann;;Ausgabe 10. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2005;Musikmedizin;;;Deutsch
Decker-Voigt35;Decker-Voigt, Spintge, Weymann;;Ausgabe 11. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2006;Musikmedizin;;;Deutsch
Decker-Voigt35a;Decker-Voigt, Spintge, Weymann;;Ausgabe 11. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2006;Musikmedizin;;;Deutsch
Decker-Voigt35b;Decker-Voigt, Spintge, Weymann;;Ausgabe 11. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2006;Musikmedizin;;;Deutsch
Decker-Voigt36;Decker-Voigt, Spintge, Weymann;;Ausgabe 12. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2006;Musikmedizin;;;Deutsch
Decker-Voigt36a;Decker-Voigt, Spintge, Weymann;;Ausgabe 12. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2006;Musikmedizin;;;Deutsch
Decker-Voigt36b;Decker-Voigt, Spintge, Weymann;;Ausgabe 12. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2006;Musikmedizin;;;Deutsch
Decker-Voigt37;Decker-Voigt, Spintge, Weymann;;Ausgabe 13. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2007;Musikmedizin;;;Deutsch
Decker-Voigt37a;Decker-Voigt, Spintge, Weymann;;Ausgabe 13. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2007;Musikmedizin;;;Deutsch
Decker-Voigt37b;Decker-Voigt, Spintge, Weymann;;Ausgabe 13. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2007;Musikmedizin;;;Deutsch
Decker-Voigt38;Decker-Voigt, Spintge, Weymann;;Ausgabe 14. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2008;Musikmedizin;;;Deutsch
Decker-Voigt38a;Decker-Voigt, Spintge, Weymann;;Ausgabe 14. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2008;Musikmedizin;;;Deutsch
Decker-Voigt38b;Decker-Voigt, Spintge, Weymann;;Ausgabe 14. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2008;Musikmedizin;;;Deutsch
Decker-Voigt39;Decker-Voigt, Spintge, Weymann;;Ausgabe 15. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2008;Musikmedizin;;;Deutsch
Decker-Voigt39a;Decker-Voigt, Spintge, Weymann;;Ausgabe 15. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2008;Musikmedizin;;;Deutsch
Decker-Voigt40;Decker-Voigt, Spintge, Weymann;;Ausgabe 19. Musik und Gesundsein. Orientalische Musiktherapie;2011;Musikmedizin;;;Deutsch
Decker-Voigt40a;Decker-Voigt, Spintge, Weymann;;Ausgabe 19. Musik und Gesundsein. Orientalische Musiktherapie;2011;Musikmedizin;;;Deutsch
Decker-Voigt40b;Decker-Voigt, Spintge, Weymann;;Ausgabe 19. Musik und Gesundsein. Orientalische Musiktherapie;2011;Musikmedizin;;;Deutsch
Decker-Voigt41;Decker-Voigt, Spintge, Weymann;;Ausgabe 20. Musik und Gesundsein. Instrumente der Musiktherapie;2011;Musikmedizin;;;Deutsch
Decker-Voigt41a;Decker-Voigt, Spintge, Weymann;;Ausgabe 20. Musik und Gesundsein. Instrumente der Musiktherapie;2011;Musikmedizin;;;Deutsch
Decker-Voigt41b;Decker-Voigt, Spintge, Weymann;;Ausgabe 20. Musik und Gesundsein. Instrumente der Musiktherapie;2011;Musikmedizin;;;Deutsch
Decker-Voigt42;Decker-Voigt, Spintge, Weymann;;Ausgabe 21. Musik und Gesundsein. Stimme und Singen in der Musiktherapie;2012;Musikmedizin;;;Deutsch
Decker-Voigt42a;Decker-Voigt, Spintge, Weymann;;Ausgabe 21. Musik und Gesundsein. Stimme und Singen in der Musiktherapie;2012;Musikmedizin;;;Deutsch
Decker-Voigt42b;Decker-Voigt, Spintge, Weymann;;Ausgabe 21. Musik und Gesundsein. Stimme und Singen in der Musiktherapie;2012;Musikmedizin;;;Deutsch
Decker-Voigt43;Decker-Voigt, Spintge, Weymann;;Ausgabe 22. Musik und Gesundsein. Musiktherapie in der Schule;2012;Musikmedizin;;;Deutsch
Decker-Voigt43a;Decker-Voigt, Spintge, Weymann;;Ausgabe 22. Musik und Gesundsein. Musiktherapie in der Schule;2012;Musikmedizin;;;Deutsch
Decker-Voigt43b;Decker-Voigt, Spintge, Weymann;;Ausgabe 22. Musik und Gesundsein. Musiktherapie in der Schule;2012;Musikmedizin;;;Deutsch
Decker-Voigt44;Decker-Voigt, Spintge, Weymann;;Ausgabe 23. Musik und Gesundsein. Musiktherapie und Migration;2013;Musikmedizin;;;Deutsch
Decker-Voigt44a;Decker-Voigt, Spintge, Weymann;;Ausgabe 23. Musik und Gesundsein. Musiktherapie und Migration;2013;Musikmedizin;;;Deutsch
Decker-Voigt44b;Decker-Voigt, Spintge, Weymann;;Ausgabe 23. Musik und Gesundsein. Musiktherapie und Migration;2013;Musikmedizin;;;Deutsch
Decker-Voigt45;Decker-Voigt, Spintge, Weymann;;Ausgabe 25. Musik und Gesundsein.Musiktherapie bei Trennungskindern;2014;Musikmedizin;;;Deutsch
Decker-Voigt45a;Decker-Voigt, Spintge, Weymann;;Ausgabe 25. Musik und Gesundsein.Musiktherapie bei Trennungskindern;2014;Musikmedizin;;;Deutsch
Decker-Voigt45b;Decker-Voigt, Spintge, Weymann;;Ausgabe 25. Musik und Gesundsein.Musiktherapie bei Trennungskindern;2014;Musikmedizin;;;Deutsch
Decker-Voigt46;Decker-Voigt, Spintge, Weymann;;Ausgabe 26. Musik und Gesundsein.Musiktherapie bei Demenz;2014;Musikmedizin;;;Deutsch
Decker-Voigt46a;Decker-Voigt, Spintge, Weymann;;Ausgabe 26. Musik und Gesundsein.Musiktherapie bei Demenz;2014;Musikmedizin;;;Deutsch
Decker-Voigt46b;Decker-Voigt, Spintge, Weymann;;Ausgabe 26. Musik und Gesundsein.Musiktherapie bei Demenz;2014;Musikmedizin;;;Deutsch
Decker-Voigt47;Decker-Voigt, Spintge, Weymann;;Ausgabe 27. Musik und Gesundsein.Musiktherapie und Sprachförderung;2015;Musikmedizin;;;Deutsch
Decker-Voigt47a;Decker-Voigt, Spintge, Weymann;;Ausgabe 27. Musik und Gesundsein.Musiktherapie und Sprachförderung;2015;Musikmedizin;;;Deutsch
Decker-Voigt48;Decker-Voigt, Spintge, Weymann;;Ausgabe 28. Musik und Gesundsein.Musiktherapie bei Persönlichkeitsstörungen;2015;Musikmedizin;;;Deutsch
Decker-Voigt48a;Decker-Voigt, Spintge, Weymann;;Ausgabe 28. Musik und Gesundsein.Musiktherapie bei Persönlichkeitsstörungen;2015;Musikmedizin;;;Deutsch
Decker-Voigt48b;Decker-Voigt, Spintge, Weymann;;Ausgabe 28. Musik und Gesundsein.Musiktherapie bei Persönlichkeitsstörungen;2015;Musikmedizin;;;Deutsch
Decker-Voigt49;Decker-Voigt, Spintge, Weymann;;Ausgabe 29. Musik und Gesundsein.Musiktherapie und Sucht;2016;Musikmedizin;;;Deutsch
Decker-Voigt49a;Decker-Voigt, Spintge, Weymann;;Ausgabe 29. Musik und Gesundsein.Musiktherapie und Sucht;2016;Musikmedizin;;;Deutsch
Decker-Voigt49b;Decker-Voigt, Spintge, Weymann;;Ausgabe 29. Musik und Gesundsein.Musiktherapie und Sucht;2016;Musikmedizin;;;Deutsch
Decker-Voigt50;Decker-Voigt, Spintge, Weymann;;Ausgabe 30. Musik und Gesundsein.Musiktherapie und Psychotraumatologie;2016;Musikmedizin;;;Deutsch
Decker-Voigt51;Decker-Voigt, Spintge, Weymann;;Ausgabe 33. Musik und Gesundsein.Musiktherapie und Schwerstmehrfachbehinderung;2018;Musikmedizin;;;Deutsch
Decker-Voigt51a;Decker-Voigt, Spintge, Weymann;;Ausgabe 33. Musik und Gesundsein.Musiktherapie und Schwerstmehrfachbehinderung;2018;Musikmedizin;;;Deutsch
Decker-Voigt51b;Decker-Voigt, Spintge, Weymann;;Ausgabe 33. Musik und Gesundsein.Musiktherapie und Schwerstmehrfachbehinderung;2018;Musikmedizin;;;Deutsch
Decker-Voigt52;Decker-Voigt, Spintge, Weymann;;Ausgabe 34. Musik und Gesundsein.Digitale Instrumente in der Musiktherapie;2018;Musikmedizin;;;Deutsch
Decker-Voigt52a;Decker-Voigt, Spintge, Weymann;;Ausgabe 34. Musik und Gesundsein.Digitale Instrumente in der Musiktherapie;2018;Musikmedizin;;;Deutsch
Decker-Voigt52b;Decker-Voigt, Spintge, Weymann;;Ausgabe 34. Musik und Gesundsein.Digitale Instrumente in der Musiktherapie;2018;Musikmedizin;;;Deutsch
Decker-Voigt53;Decker-Voigt, Spintge, Weymann;;Ausgabe 35. Musik und Gesundsein.Die Muttersprache in der Musiktherapie;2019;Musikmedizin;;;Deutsch
Decker-Voigt53a;Decker-Voigt, Spintge, Weymann;;Ausgabe 35. Musik und Gesundsein.Die Muttersprache in der Musiktherapie;2019;Musikmedizin;;;Deutsch
Decker-Voigt53b;Decker-Voigt, Spintge, Weymann;;Ausgabe 35. Musik und Gesundsein.Die Muttersprache in der Musiktherapie;2019;Musikmedizin;;;Deutsch
Decker-Voigt54;Decker-Voigt, Spintge, Weymann;;Ausgabe 36. Musik und Gesundsein.Wem gehört die Musiktherapie?;2019;Musikmedizin;;;Deutsch
Decker-Voigt54a;Decker-Voigt, Spintge, Weymann;;Ausgabe 36. Musik und Gesundsein.Wem gehört die Musiktherapie?;2019;Musikmedizin;;;Deutsch
Decker-Voigt54b;Decker-Voigt, Spintge, Weymann;;Ausgabe 36. Musik und Gesundsein.Wem gehört die Musiktherapie?;2019;Musikmedizin;;;Deutsch
Decker-Voigt55;Decker-Voigt, Spintge, Weymann;;Ausgabe 37. Musik und Gesundsein.Musiktherapie in der Musikschule;2020;Musikmedizin;;;Deutsch
Decker-Voigt55a;Decker-Voigt, Spintge, Weymann;;Ausgabe 37. Musik und Gesundsein.Musiktherapie in der Musikschule;2020;Musikmedizin;;;Deutsch
Decker-Voigt55b;Decker-Voigt, Spintge, Weymann;;Ausgabe 37. Musik und Gesundsein.Musiktherapie in der Musikschule;2020;Musikmedizin;;;Deutsch
Decker-Voigt56;Decker-Voigt, Spintge, Weymann;;Ausgabe 38. Musik und Gesundsein.Musiktherapie mittendrin - zwischen den Kulturen;2020;Musikmedizin;;;Deutsch
Decker-Voigt56a;Decker-Voigt, Spintge, Weymann;;Ausgabe 38. Musik und Gesundsein.Musiktherapie mittendrin - zwischen den Kulturen;2020;Musikmedizin;;;Deutsch
Decker-Voigt56b;Decker-Voigt, Spintge, Weymann;;Ausgabe 38. Musik und Gesundsein.Musiktherapie mittendrin - zwischen den Kulturen;2020;Musikmedizin;;;Deutsch
Decker-Voigt57;Decker-Voigt, Spintge, Weymann;;Musik und Gesundsein.Musiktherapie in Hospiz und Palliativmedizin;K.A.;Musikmedizin;;;Deutsch
Decker-Voigt57a;Decker-Voigt, Spintge, Weymann;;Musik und Gesundsein.Musiktherapie in Hospiz und Palliativmedizin;K.A.;Musikmedizin;;;Deutsch
Decker-Voigt57b;Decker-Voigt, Spintge, Weymann;;Musik und Gesundsein.Musiktherapie in Hospiz und Palliativmedizin;K.A.;Musikmedizin;;;Deutsch
Decker-Voigt58;Decker-Voigt, Spintge, Weymann;;Ausgabe 15. Musik und Gesundsein. Halbjahreszeitung für Musik in Therapie, Medizin und Beratung;2008;Musikmedizin;;;Deutsch
Decker-Voigt59;Decker-Voigt, Escher Josef;Hans-Helmut;Neue Klänge in der Medizin. Musiktherapie in der Inneren Medizin;1994;Musikmedizin, innere Medizin, Musik und Gesundheit;;3-929205-04-1;Deutsch
DMG 01;Deutsche Musiktherapie Gesellschaft;(DMtG);Jahrbuch Musiktherapie, Music Therapy Annual. Band 2 (2006) Schöpferisches Potential der Musiktherapie vor dem Hintergrund gegenwärtiger Rahmenbedingungen;2006;Schöpferisches Potential Musiktherapie;;3-89500-488-9;Deutsch/Englisch
